peso,altura,sexo,edad,tabaco,ubes,carneRoja,verduras,deporte,drogas,dietaEsp,nivEstPad,nivEstudios,nivIngresos
52.02,1.7,V,46,80,0,0,5,7,0,N,1,0,1
90.32,1.68,M,31,10,8,5,6,5,0,N,0,2,1
48.41,1.64,M,40,30,0,4,0,0,0,N,0,2,2
95.11,1.83,V,59,10,11,1,0,1,0,N,0,1,0
98.17,1.8,M,68,10,0,2,5,3,0,N,2,3,1
53.87,1.73,V,46,110,0,3,10,7,4,N,1,2,1
50.2,1.67,M,28,190,5,3,0,1,0,N,1,2,1
101.76,1.73,M,40,0,0,4,11,0,0,N,1,1,1
55.12,1.75,V,41,20,0,0,12,0,0,N,1,3,1
96.07,1.73,M,42,0,10,0,15,6,0,N,1,3,3
61.61,1.85,V,47,30,10,0,9,0,4,N,2,4,4
87.35,1.61,M,34,0,2,1,9,10,0,S,0,1,1
100.29,1.79,V,38,10,0,2,0,11,0,N,2,3,4
81.57,1.63,M,46,0,13,0,0,0,0,N,2,4,4
87.97,1.69,M,38,0,0,0,0,0,0,S,1,1,2
97.69,1.75,V,56,0,0,2,0,0,0,N,0,2,3
90.32,1.68,M,48,0,24,0,11,0,0,N,1,2,2
90.42,1.81,V,18,0,0,0,2,0,0,N,1,1,2
52.63,1.71,V,30,90,12,3,0,1,5,N,1,2,2
94.63,1.75,V,68,0,0,0,1,0,0,N,1,2,2
95.12,1.63,M,55,0,0,5,0,0,2,N,0,1,2
116.96,1.71,M,53,0,9,7,7,2,3,N,1,3,2
50.8,1.68,M,32,70,22,5,6,4,0,N,1,1,0
56.39,1.77,V,68,70,16,5,9,13,0,N,2,2,2
56.39,1.77,V,44,160,1,0,2,0,0,N,1,1,0
109.09,1.81,V,59,0,0,0,6,2,0,N,1,3,2
83.68,1.69,V,34,0,11,0,3,2,0,N,2,4,4
127.26,1.83,V,48,0,0,3,17,6,0,N,0,0,0
118.92,1.81,V,37,0,0,4,0,0,NA,N,0,0,1
85.02,1.63,M,24,0,0,3,0,1,0,N,1,3,3
56.39,1.77,V,58,150,0,5,0,0,0,N,0,1,0
83.68,1.59,M,41,0,9,1,22,7,0,N,2,4,4
110.22,1.66,M,26,0,4,2,16,25,0,N,1,3,2
104.53,1.69,M,67,0,0,1,0,1,0,N,0,0,0
93.14,1.68,M,34,0,0,3,12,1,0,N,0,1,1
44.37,1.57,M,29,170,0,2,0,0,0,N,1,3,4
110.86,1.75,V,48,0,0,1,21,15,3,N,1,3,4
57.67,1.79,M,50,120,0,0,21,12,0,N,1,2,3
120.66,1.75,M,69,0,19,5,1,0,0,N,1,3,3
109.75,1.81,V,42,0,0,4,3,0,0,N,0,2,1
117.15,1.72,V,47,0,12,5,7,6,0,N,1,1,1
90.75,1.7,V,25,0,0,1,0,5,0,N,2,3,3
102.17,1.68,M,49,0,0,1,11,13,0,N,2,4,4
102.38,1.8,V,46,0,0,0,1,2,0,N,2,3,3
99.37,1.63,M,53,0,0,1,0,9,0,N,2,3,4
90.75,1.7,M,25,0,0,0,1,6,0,N,0,2,2
58.97,1.81,V,46,90,10,2,7,10,0,N,0,1,1
54.5,1.74,V,60,100,0,0,9,9,0,S,1,2,4
83.37,1.55,M,47,0,1,5,0,0,0,S,2,4,4
101.68,1.69,V,50,0,17,0,13,10,0,N,2,3,4
111.56,1.67,M,53,0,2,5,14,6,4,N,2,3,3
53.87,1.73,M,48,70,0,4,19,4,0,N,3,3,4
95.97,1.74,V,38,0,0,1,22,6,0,N,1,2,1
51.41,1.69,V,37,70,0,1,11,10,0,N,1,2,1
96.83,1.64,M,74,0,0,0,27,10,0,S,0,1,2
90.8,1.62,M,47,0,12,2,0,2,0,N,3,3,4
76.47,1.61,M,46,10,11,3,0,0,0,N,1,2,1
55.12,1.75,V,59,60,3,0,0,0,0,N,1,2,2
72.08,1.55,M,41,10,13,0,0,8,0,N,1,0,0
53.87,1.73,V,47,30,16,3,0,5,0,N,2,3,4
89.05,1.72,V,37,0,4,0,0,0,0,N,0,3,3
56.39,1.77,V,41,150,1,7,0,5,5,N,0,1,2
47.82,1.63,M,68,70,0,4,0,8,0,N,1,4,2
83.65,1.64,M,35,0,0,0,0,0,0,N,1,0,0
85.66,1.56,M,55,0,0,0,6,5,0,N,0,0,0
118.34,1.72,M,65,0,0,0,0,15,0,N,1,1,2
98.22,1.68,M,23,0,4,2,12,9,4,N,1,2,2
55.76,1.76,V,48,20,0,0,3,1,0,N,2,2,2
94.82,1.67,M,43,0,0,2,0,0,0,N,1,1,0
89.56,1.66,M,28,0,0,0,0,5,0,N,2,1,0
96.88,1.74,V,45,0,0,0,18,9,0,N,1,1,3
80.59,1.65,M,18,0,8,0,0,0,0,N,2,4,3
48.41,1.64,V,41,30,0,2,0,0,0,N,2,4,3
100,1.71,V,29,0,8,0,11,7,2,N,1,0,0
48.41,1.64,M,41,50,2,0,0,0,0,N,0,1,0
114.71,1.79,V,49,0,4,0,15,9,0,N,0,2,2
97.36,1.58,M,42,0,0,7,0,3,0,N,2,3,3
99.68,1.69,V,18,0,7,1,10,14,0,N,3,3,3
90.85,1.77,V,38,0,0,0,3,0,0,N,3,4,4
86.34,1.62,M,24,0,0,0,0,6,0,N,1,2,1
116.28,1.78,V,50,0,0,0,13,14,0,S,0,1,2
112.52,1.83,V,31,0,5,3,10,1,0,N,1,0,0
110.26,1.78,V,40,0,0,0,19,12,11,N,2,4,4
107.22,1.7,V,56,0,9,6,1,0,4,N,0,3,4
84.13,1.65,M,33,0,9,1,8,0,0,N,2,4,4
90,1.5,M,64,0,0,6,4,6,0,N,1,3,4
50.8,1.68,V,34,80,0,2,9,7,0,N,1,2,1
101.73,1.7,M,53,0,10,1,0,1,0,N,1,2,2
115.96,1.78,V,21,0,0,1,18,15,0,N,1,1,1
80.57,1.62,M,43,0,0,1,5,0,5,N,2,3,2
89.83,1.76,V,39,0,0,0,0,0,0,N,0,3,4
52.02,1.7,M,30,50,6,3,0,0,0,N,2,2,2
57.67,1.79,V,54,150,0,0,0,7,0,N,3,4,3
111.34,1.73,V,33,0,0,3,16,10,0,N,0,2,0
84.77,1.62,M,24,0,4,0,4,8,0,N,2,3,4
84.91,1.72,V,32,10,0,6,9,5,0,N,2,3,3
127.2,1.79,V,27,0,0,1,26,25,0,N,0,1,2
114.66,1.77,V,60,0,9,0,25,17,0,N,2,4,4
107.25,1.68,M,28,0,18,0,3,15,0,N,1,1,1
95.21,1.64,M,51,0,14,2,2,0,0,N,1,2,0
101.24,1.67,M,56,0,18,0,13,10,0,N,2,4,4
83.69,1.63,M,35,0,10,0,2,1,0,N,1,1,0
102.88,1.62,M,47,0,6,2,0,8,0,N,1,1,2
90.33,1.63,M,30,0,0,0,12,11,1,N,1,3,2
101.39,1.69,M,18,0,0,7,0,0,0,N,1,2,3
104.43,1.75,V,38,0,0,0,4,8,0,N,1,1,2
73.82,1.59,M,35,0,0,0,9,1,0,N,1,2,1
49.6,1.66,M,39,120,0,0,3,3,0,N,0,2,3
121.1,1.74,V,42,0,7,5,0,9,3,N,0,1,0
100.12,1.78,V,24,0,0,3,18,3,0,N,1,1,1
125.39,1.8,V,27,0,0,6,0,3,0,N,0,1,1
46.08,1.6,M,25,60,0,0,9,12,0,N,1,1,0
109.51,1.8,V,51,0,1,1,6,4,0,N,1,3,4
96.65,1.65,M,18,0,7,5,6,6,0,N,1,3,4
46.08,1.6,M,41,290,6,6,0,5,1,N,1,2,2
78.89,1.58,M,34,0,24,0,0,1,0,N,1,2,2
98.84,1.7,V,37,0,1,0,13,7,0,N,0,1,1
107.69,1.72,V,18,0,10,5,0,3,0,N,0,0,0
93.05,1.77,V,18,0,15,0,0,0,0,N,1,1,1
100.05,1.76,V,51,0,10,2,0,0,0,N,3,4,3
91.13,1.74,M,35,0,0,0,1,0,0,N,2,3,3
46.66,1.61,M,57,170,0,0,2,1,1,N,0,2,2
109.12,1.66,M,52,0,0,7,13,4,0,N,0,0,1
98.5,1.76,V,34,0,0,1,19,6,0,N,0,2,2
51.41,1.69,M,35,130,11,0,11,7,0,S,0,1,1
99.42,1.7,V,35,0,0,5,2,0,0,N,0,3,3
99.92,1.65,M,34,0,0,3,19,10,0,N,2,3,3
55.12,1.75,V,70,120,7,0,2,1,8,N,0,3,3
97.54,1.6,M,54,0,14,0,0,7,0,N,1,0,0
81.21,1.7,M,23,0,7,0,10,0,0,N,0,0,1
109.54,1.73,V,47,0,2,5,0,0,0,N,1,2,0
83.64,1.76,V,36,10,0,0,9,9,0,S,4,4,4
102.82,1.69,M,77,0,0,0,3,7,0,N,4,4,4
132.5,1.82,V,73,0,13,6,24,14,0,N,1,3,4
52.02,1.7,M,34,90,0,1,4,0,0,N,2,2,1
88.48,1.65,M,49,0,0,1,9,0,4,N,0,1,1
89.01,1.66,M,27,0,0,2,0,4,NA,N,2,3,3
53.87,1.73,M,21,60,0,1,0,0,0,N,2,4,3
73.51,1.78,V,48,20,0,0,8,9,0,N,0,0,0
89.97,1.69,M,47,0,0,2,0,0,0,N,2,3,4
81.36,1.62,M,52,0,0,0,2,0,0,N,1,3,4
68.23,1.62,M,39,10,0,0,0,4,0,S,2,1,1
106.56,1.76,V,39,0,0,4,0,0,0,N,2,3,4
52.63,1.71,M,33,50,2,0,0,0,0,N,2,3,2
82.6,1.73,V,18,0,0,0,0,0,0,S,0,2,3
93.86,1.76,M,48,0,0,0,0,0,0,N,1,3,3
97.37,1.68,M,70,0,0,0,0,1,0,N,2,3,3
92.77,1.7,M,49,0,3,0,8,3,0,N,2,2,2
55.76,1.76,V,42,170,7,2,0,0,0,N,1,2,1
48.41,1.64,M,60,30,0,0,1,4,0,N,3,4,3
85.02,1.63,M,52,0,0,2,1,0,0,N,0,0,2
81.29,1.66,M,47,0,0,0,0,0,0,S,1,2,3
91.93,1.63,M,43,0,0,4,0,0,0,N,2,3,4
100.57,1.7,V,25,0,14,2,3,8,0,S,1,3,3
109.36,1.71,V,41,0,26,5,0,0,0,S,1,2,2
80.8,1.56,M,24,0,0,2,13,10,0,N,1,3,2
107.49,1.75,V,37,0,0,3,1,1,2,S,1,2,1
121.58,1.88,V,47,0,0,0,24,12,0,S,0,2,1
62.27,1.86,V,18,140,14,3,9,8,0,N,1,2,1
102.95,1.72,M,21,0,0,7,5,0,0,N,3,4,4
105.61,1.72,V,68,0,12,0,15,7,1,N,2,3,4
97.69,1.75,M,29,0,0,1,3,0,4,N,1,1,1
43.8,1.56,M,48,30,0,3,0,0,0,N,1,0,2
86.08,1.62,V,18,0,0,3,4,4,0,N,1,1,1
102.06,1.8,V,37,0,0,2,10,0,0,N,2,3,4
96.44,1.72,V,30,0,0,2,0,0,0,N,2,1,2
56.39,1.77,V,47,110,15,0,0,0,0,N,2,4,4
50.8,1.68,M,34,80,9,3,0,0,0,N,1,3,2
116.21,1.83,V,38,0,11,5,3,0,0,S,3,3,3
126.74,1.78,V,86,0,0,9,0,0,0,N,2,3,4
97.02,1.6,M,37,0,0,1,17,17,0,N,1,3,2
98.25,1.69,M,38,0,0,0,23,13,0,N,1,2,3
100.25,1.69,V,51,0,6,0,0,2,0,N,0,0,0
52.02,1.7,M,31,100,5,4,3,0,6,N,2,3,4
108.39,1.74,V,23,0,20,6,0,0,0,N,1,2,3
50.8,1.68,M,33,30,9,0,0,2,0,N,1,0,0
84.05,1.66,M,51,0,0,0,6,1,0,S,1,2,2
99.13,1.71,V,45,0,0,2,7,3,0,N,2,4,3
110.94,1.72,V,55,0,0,3,31,12,0,N,1,2,2
54.5,1.74,V,37,50,0,1,4,6,0,N,0,2,3
86.67,1.75,V,19,0,0,0,0,0,0,N,0,1,1
124.83,1.78,V,40,0,0,4,14,12,2,N,1,2,2
52.63,1.71,V,59,50,0,0,0,0,0,N,0,1,2
94.22,1.62,M,44,0,9,2,0,1,0,N,2,2,0
84.67,1.65,M,31,0,17,0,0,0,0,N,2,1,1
105.32,1.72,V,31,0,0,6,15,1,0,N,0,2,3
53.87,1.73,V,27,130,17,6,0,1,2,N,2,2,3
81.41,1.6,M,43,0,9,0,0,0,0,N,0,1,0
72.17,1.62,M,23,0,2,0,9,0,0,N,2,3,3
98.92,1.75,V,53,0,7,1,12,1,0,N,1,1,1
96.45,1.66,M,38,0,15,2,10,4,0,N,0,1,2
50.8,1.68,M,70,50,1,0,24,5,0,N,0,3,2
101.57,1.79,V,45,10,11,1,15,17,0,N,0,1,3
84.39,1.68,M,35,0,0,0,16,5,0,S,1,3,3
98.81,1.72,V,41,0,0,4,0,1,0,N,2,2,2
105.02,1.72,M,18,0,0,3,6,8,0,N,0,0,1
55.76,1.76,V,24,20,0,0,0,1,0,N,0,1,0
89.29,1.64,M,53,0,10,0,5,0,0,N,0,1,1
118.08,1.74,V,42,0,17,2,13,12,0,N,2,3,3
101.55,1.65,M,39,0,5,4,5,9,0,N,1,1,2
100.76,1.68,V,29,0,0,5,10,6,0,N,1,3,2
104.82,1.65,M,44,0,0,1,7,16,4,N,0,1,1
52.63,1.71,V,35,120,13,5,0,2,1,N,1,2,3
57.03,1.78,V,38,100,0,5,0,0,0,S,3,4,3
119.36,1.77,V,29,0,5,1,29,15,0,N,0,0,1
48.41,1.64,M,58,70,0,0,4,3,0,N,1,0,1
66.44,1.73,V,25,10,7,0,15,5,0,S,1,3,2
88.14,1.7,V,42,0,11,1,8,0,0,N,3,4,4
52.02,1.7,V,62,50,0,0,7,4,0,N,2,2,1
46.08,1.6,M,21,90,0,0,0,0,0,N,2,3,3
95.16,1.79,V,18,0,2,0,10,6,0,N,2,3,4
115.6,1.7,V,18,0,12,2,33,27,3,N,1,3,2
84.27,1.53,M,35,0,9,4,0,0,0,N,0,2,2
116.72,1.73,M,55,0,5,5,8,3,0,N,2,2,3
68.3,1.77,V,65,20,4,3,5,4,0,N,1,3,4
107.48,1.74,V,41,0,8,4,0,1,2,N,2,3,4
104.56,1.78,V,32,0,0,0,19,11,0,N,2,3,1
123.9,1.76,V,50,0,11,5,0,9,0,N,1,2,1
95.79,1.62,M,61,0,1,2,0,2,0,N,2,2,3
103.82,1.64,M,31,0,0,3,16,11,0,N,0,0,0
121.87,1.81,V,45,0,0,3,0,8,0,N,1,0,2
85.8,1.64,M,20,10,0,5,12,9,0,N,1,0,0
103.46,1.7,V,31,0,4,4,0,0,0,N,1,2,1
98.31,1.75,V,42,0,16,0,9,3,0,N,1,2,3
75.32,1.62,M,18,0,0,0,0,0,0,N,0,3,2
53.25,1.72,V,47,40,0,4,8,8,0,N,3,4,4
83.23,1.56,M,18,0,0,4,0,1,0,N,1,1,0
95.65,1.63,M,33,0,12,0,21,11,0,N,1,0,1
114.33,1.73,V,54,0,20,1,0,4,6,N,0,1,0
84.18,1.64,M,37,0,0,0,5,1,0,N,0,0,0
94.46,1.74,V,35,0,0,0,1,0,1,N,0,2,1
117.23,1.78,V,31,0,10,3,14,10,0,N,1,2,3
48.41,1.64,M,44,90,0,0,17,4,0,N,3,4,4
126.74,1.78,V,60,0,4,8,5,4,1,N,1,2,2
65.48,1.68,V,18,20,6,4,10,9,0,N,1,1,0
119.57,1.76,V,63,0,5,0,21,16,0,N,3,4,2
46.08,1.6,M,56,80,0,0,7,0,0,N,1,2,3
112.42,1.72,M,55,0,0,3,0,5,0,N,2,4,4
101.76,1.71,M,28,0,14,0,14,6,6,N,2,1,1
50.2,1.67,M,25,20,0,0,20,7,0,N,2,3,2
91.93,1.63,V,43,10,15,10,4,0,0,N,2,4,4
93.14,1.66,M,50,0,0,0,9,9,0,N,1,3,3
84.25,1.76,V,18,10,0,0,9,12,0,N,1,1,2
50.2,1.67,V,58,80,7,0,19,11,0,N,4,4,3
87.37,1.58,M,52,0,7,3,2,1,0,N,1,2,4
82.03,1.64,M,18,0,1,0,6,6,0,N,2,3,3
95.39,1.69,M,55,0,1,0,0,3,0,N,3,3,2
90.06,1.71,V,43,10,0,1,2,12,0,N,1,1,0
81.09,1.62,M,45,0,0,0,10,2,8,N,3,4,4
113.16,1.71,M,55,0,4,4,0,6,0,N,3,3,1
84.51,1.71,V,25,0,0,1,15,5,0,N,0,1,2
91.97,1.69,V,61,0,5,0,2,0,0,N,0,3,3
45.51,1.59,M,41,40,0,5,0,3,4,N,2,2,2
95.4,1.68,M,23,0,0,3,0,0,0,S,1,0,0
98.69,1.79,V,35,0,0,0,0,0,0,N,0,1,2
96.81,1.7,M,62,0,0,2,5,0,0,N,2,4,3
102.53,1.79,V,56,0,1,1,0,0,0,N,1,3,4
100.03,1.82,V,22,0,18,0,13,6,0,N,1,4,3
88.91,1.68,M,41,0,0,0,1,2,0,N,2,1,2
115.99,1.8,V,57,0,1,2,0,0,4,N,3,4,4
60.28,1.83,V,31,60,0,0,27,17,0,S,2,3,3
108.34,1.84,V,38,0,0,1,11,6,0,N,3,4,3
88.39,1.61,M,40,0,0,1,14,5,0,N,0,1,0
106.27,1.8,V,18,0,0,3,3,2,0,N,1,0,0
83.98,1.62,M,24,0,0,4,0,0,0,N,1,1,1
78.99,1.72,M,22,0,4,0,10,0,0,N,1,3,4
81.71,1.67,M,19,0,14,1,14,1,0,N,2,3,2
88.31,1.71,V,23,0,0,2,1,0,0,N,2,3,3
45.51,1.59,M,30,80,3,0,13,13,0,N,2,3,4
122.4,1.79,V,31,0,2,7,6,5,0,N,0,0,0
86.5,1.78,V,27,0,0,0,5,0,0,N,2,4,4
90.88,1.68,M,33,0,0,3,0,0,0,N,1,3,4
89.31,1.74,V,21,0,0,0,7,3,0,N,2,3,4
99.71,1.71,V,52,0,19,0,0,3,0,N,1,2,1
50.2,1.67,M,37,90,4,0,3,6,0,N,2,2,3
62.44,1.59,M,49,10,14,0,11,4,0,N,1,4,4
89.59,1.7,V,46,0,3,0,17,0,1,N,1,0,0
85.86,1.78,V,38,0,0,0,9,0,0,N,2,4,4
78.61,1.7,V,36,10,1,5,0,0,0,N,1,4,4
58.97,1.81,V,46,120,0,0,29,13,0,N,0,0,0
49.6,1.66,M,21,240,10,6,0,0,0,N,2,4,3
51.41,1.69,V,38,60,0,0,11,9,0,N,1,2,1
52.63,1.71,M,28,50,0,2,30,8,0,N,0,1,0
114.24,1.69,M,81,0,23,8,0,2,0,N,0,2,1
114.31,1.85,V,54,0,7,0,7,3,1,N,0,1,2
101.87,1.61,M,39,0,0,3,4,14,0,N,1,1,1
52.02,1.7,V,18,30,25,1,7,2,0,N,0,0,0
64.52,1.65,V,18,10,10,2,0,0,0,N,2,1,1
106.21,1.77,V,40,0,13,5,9,0,0,N,2,3,3
84.87,1.66,M,28,0,5,3,6,0,6,N,3,4,4
104.98,1.62,M,18,0,0,9,9,9,1,N,1,2,2
108.87,1.72,M,43,0,0,2,0,4,3,N,2,2,1
51.41,1.69,M,38,100,0,5,0,4,0,N,2,4,4
62.97,1.74,V,51,20,0,6,7,0,0,S,1,4,4
103.25,1.72,V,38,0,10,3,0,0,0,N,0,1,2
49,1.65,M,38,60,0,1,8,7,0,N,2,4,3
84.99,1.64,V,57,0,0,1,14,1,0,S,1,3,2
103.75,1.7,M,57,0,0,2,20,6,0,N,1,0,0
92.03,1.67,M,50,0,0,2,7,0,7,N,1,2,3
81.83,1.63,M,44,0,0,0,0,3,0,N,2,2,3
118.18,1.78,V,55,0,0,2,9,9,0,N,2,3,3
80.46,1.66,M,37,0,1,0,0,1,0,N,2,3,2
45.51,1.59,M,47,30,0,0,0,1,0,N,2,4,4
125.32,1.77,V,54,0,21,5,17,8,0,N,1,1,2
54.5,1.74,V,30,110,0,4,0,0,0,S,1,1,0
94.55,1.59,M,42,0,4,4,15,6,0,N,0,1,0
125.32,1.77,V,18,0,0,6,3,9,0,N,1,0,1
108.69,1.74,V,19,0,10,4,0,4,5,N,1,2,1
85.7,1.59,M,39,0,0,0,3,4,0,N,1,1,1
101.46,1.73,V,61,0,13,1,14,1,0,N,1,2,2
55.12,1.75,V,27,100,0,0,15,8,0,N,0,2,3
112.93,1.74,V,44,0,0,3,20,6,0,N,2,2,0
74.51,1.68,V,34,0,9,0,16,0,0,N,2,4,4
94.26,1.67,M,39,0,4,3,0,0,0,N,2,3,2
93.79,1.63,M,62,0,8,0,0,2,0,N,1,3,3
73.06,1.81,V,23,10,7,0,0,2,0,N,1,3,4
132.5,1.82,V,45,0,8,5,18,5,3,N,1,0,0
106.92,1.8,V,56,0,4,1,3,0,0,N,1,2,2
90.02,1.62,M,62,0,0,1,4,4,0,S,2,3,2
56.45,1.57,M,25,20,0,0,11,15,0,N,0,1,0
103.68,1.82,V,40,0,0,0,10,4,0,N,2,3,2
81.75,1.74,V,19,0,0,0,9,0,0,N,1,2,1
82.57,1.64,M,30,0,14,0,12,3,1,N,0,1,3
106.15,1.81,V,41,0,5,0,15,6,0,S,1,1,1
47.82,1.63,M,18,110,0,0,3,0,0,N,0,2,2
106.01,1.63,M,40,0,0,4,0,10,0,N,2,3,1
85.88,1.58,M,46,0,0,4,0,0,0,N,3,4,4
102.22,1.76,V,42,0,0,4,10,0,0,N,1,2,2
91.18,1.64,M,42,0,0,4,21,4,0,N,1,3,2
94.59,1.63,M,58,0,5,0,0,4,0,N,1,2,1
109.05,1.67,M,28,0,0,8,0,4,0,N,2,2,2
105.63,1.76,V,45,0,15,1,2,0,0,N,1,3,3
59.62,1.82,V,36,190,0,6,7,2,0,N,1,1,1
91.97,1.69,M,52,0,0,0,0,0,0,N,0,0,0
53.87,1.73,V,46,30,0,1,0,0,0,N,1,2,2
100.12,1.67,V,35,0,17,2,14,10,0,N,0,3,3
52.02,1.7,V,23,40,2,0,36,25,3,N,3,4,4
105.84,1.68,M,58,0,0,0,10,12,0,N,0,1,0
131.04,1.81,V,54,0,0,3,9,12,0,N,4,4,4
109.64,1.75,V,80,0,0,3,0,0,0,S,0,2,1
108.53,1.69,M,40,0,0,0,23,19,0,N,2,2,1
113.11,1.78,V,41,0,0,0,9,10,7,S,1,1,2
51.41,1.69,M,35,60,1,0,0,1,0,N,2,1,0
98.25,1.69,V,58,0,0,0,16,9,0,N,0,3,4
110.54,1.79,V,45,0,0,3,11,6,0,N,2,4,4
120.53,1.8,V,42,0,13,6,0,0,0,N,3,4,3
45.51,1.59,M,32,140,7,5,5,4,3,N,3,3,4
88.22,1.64,V,23,0,10,0,10,7,0,N,1,1,2
114.71,1.79,V,37,0,1,4,0,0,2,N,1,1,1
53.87,1.73,V,39,30,19,0,9,2,0,S,0,2,3
97.36,1.64,M,61,0,5,0,9,5,0,N,2,3,3
99.42,1.71,V,35,0,6,0,12,7,0,N,1,1,2
81.44,1.55,M,44,0,10,0,17,5,0,N,0,1,0
103.39,1.77,V,48,0,6,2,0,5,0,N,2,3,4
107.61,1.71,V,30,0,0,5,7,4,NA,N,0,0,0
74.92,1.63,M,29,0,0,0,0,0,0,N,2,3,2
117.86,1.78,V,48,0,0,5,0,0,0,N,0,1,1
54.5,1.74,M,33,50,0,4,6,0,0,N,4,4,4
82.72,1.83,V,43,10,1,3,11,0,0,N,2,2,3
95.56,1.65,M,51,0,5,1,4,3,0,N,1,2,1
93.93,1.65,M,75,0,8,0,9,4,0,N,3,4,4
109.64,1.82,V,44,0,0,2,0,1,0,N,2,3,4
114.19,1.72,V,55,0,0,1,12,13,0,N,0,0,0
83.38,1.64,M,29,0,0,0,0,3,0,N,3,3,3
93.15,1.67,M,50,0,4,0,0,2,0,N,3,4,3
112.7,1.75,M,43,0,11,6,0,0,1,N,2,4,4
100.3,1.71,M,51,0,4,0,6,7,0,N,1,2,4
114.38,1.78,V,35,0,18,5,4,1,0,N,2,3,4
46.66,1.61,M,45,60,0,3,6,7,0,N,2,3,3
87.68,1.69,M,37,0,0,0,6,3,0,N,1,2,1
68.85,1.64,M,61,20,13,0,5,11,0,N,1,2,2
52.63,1.71,M,41,140,0,2,12,0,1,N,1,3,2
97.43,1.77,V,31,0,4,0,0,4,0,N,2,3,4
52.63,1.71,V,61,30,5,0,0,0,0,N,2,4,4
85.26,1.64,M,34,0,0,1,2,0,0,N,0,2,2
99.91,1.68,V,42,0,30,3,4,0,0,N,2,3,3
87.47,1.79,V,35,10,0,2,1,0,2,N,4,4,3
118.82,1.78,V,52,0,0,0,9,14,0,N,2,4,4
81.65,1.61,M,50,0,2,0,0,1,0,N,2,2,2
45.51,1.59,M,32,100,0,0,0,0,0,N,3,3,3
94.52,1.66,M,54,0,0,2,0,0,0,N,0,1,0
97.89,1.67,M,36,0,0,0,7,9,0,N,1,1,1
72.06,1.61,M,46,0,0,0,3,0,0,N,0,3,3
56.39,1.77,V,48,150,16,0,0,3,2,N,1,3,2
55.12,1.75,V,40,160,4,0,0,8,3,N,3,3,3
49,1.65,M,61,40,3,4,0,5,0,N,1,1,0
71.54,1.61,M,22,0,0,0,0,0,0,N,1,2,1
108.48,1.71,V,44,0,0,3,26,12,0,N,1,2,1
61.05,1.64,M,36,20,2,7,4,3,0,N,3,3,3
79.31,1.68,M,18,0,0,0,6,0,0,N,2,3,4
96.47,1.75,V,40,0,0,0,0,0,0,N,1,2,3
62.27,1.86,V,32,60,11,1,10,2,0,N,0,1,1
112.9,1.68,M,53,0,0,7,7,4,0,N,1,1,1
50.2,1.67,V,39,100,0,1,0,0,0,N,1,3,3
52.02,1.7,M,47,40,0,0,0,4,0,N,2,3,4
58.32,1.8,V,27,180,0,0,11,0,0,S,0,3,4
85.9,1.67,M,46,0,0,1,5,0,0,N,1,2,4
46.66,1.61,V,49,60,0,7,10,0,0,N,1,2,0
88.97,1.67,M,29,0,2,0,0,3,0,N,3,4,4
86.19,1.79,V,62,10,14,0,0,0,0,N,2,3,3
97.33,1.72,V,49,0,13,0,0,0,0,N,0,0,1
115.6,1.7,V,68,0,0,8,0,3,0,N,0,1,2
55.76,1.76,V,62,110,6,4,0,0,11,N,1,1,1
49.6,1.66,M,65,50,0,0,0,0,0,N,0,3,2
82.13,1.68,M,28,0,0,0,3,0,0,N,2,2,3
54.5,1.74,V,37,50,0,3,0,0,0,N,1,1,0
89.24,1.67,M,45,0,0,0,0,3,0,N,1,2,2
120.8,1.74,V,26,0,6,11,4,0,0,N,1,2,2
90.64,1.67,M,18,0,0,1,2,3,0,N,2,2,3
90.82,1.69,M,59,0,6,0,0,0,0,N,1,2,3
59.62,1.82,V,58,100,9,5,0,0,0,N,1,1,0
82.33,1.57,M,28,0,0,0,14,8,0,N,0,0,0
50.2,1.67,M,55,50,10,0,12,1,0,N,1,3,3
47.24,1.62,M,25,70,2,2,12,0,0,N,2,2,2
85.49,1.65,M,21,0,16,0,3,4,0,N,2,3,4
111.28,1.67,M,46,0,0,4,1,9,0,N,2,3,1
58.97,1.81,V,49,90,0,0,9,4,4,N,1,3,3
82.94,1.6,M,47,0,0,4,0,0,0,N,1,3,4
68.26,1.59,M,19,0,0,0,0,0,0,N,2,4,3
112.7,1.75,V,29,0,6,0,13,14,0,N,1,0,1
94.74,1.62,M,28,0,5,4,0,9,0,N,2,4,4
50.8,1.68,M,46,180,0,3,9,8,0,N,0,1,2
86.37,1.68,M,18,0,5,3,10,0,0,N,0,0,0
82.88,1.58,M,30,0,0,0,7,7,0,N,0,0,0
90.66,1.65,M,45,0,7,4,12,0,0,N,2,3,4
97.08,1.71,M,35,0,5,0,6,7,0,N,1,3,3
91.12,1.72,V,45,10,5,6,11,0,0,N,0,1,1
97.37,1.68,V,51,0,0,0,10,7,0,N,2,4,4
55.76,1.76,V,47,50,9,4,0,5,7,N,2,4,4
53.25,1.72,V,18,200,7,0,18,7,0,N,2,3,4
97.66,1.71,V,46,0,0,2,0,0,0,N,0,0,1
80.04,1.65,M,31,0,0,2,6,0,3,N,2,3,4
105.65,1.73,M,49,0,0,1,0,3,0,N,1,1,0
47.82,1.63,M,42,120,0,7,0,5,0,N,1,3,3
77.2,1.74,V,18,10,0,3,0,3,0,N,2,2,1
